field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
seen,subjectesis,30,1226,166,346,0.9396017699115045,0.9311131221719458,0.9002757352941176,0.903768115942029
seen,subjectesis,31,1226,166,346,0.9398598820058996,0.9338943729245326,0.9129901960784313,0.9165990338164252
seen,subjectesis,32,1226,166,346,0.9376474926253687,0.9308703865155478,0.9178921568627452,0.9227667493796525
recommendation_response,base,0,946,134,269,0.5,0.4126637554585153,0.5,0.4199134199134199
recommendation_response,base,1,946,134,269,0.6143518518518518,0.6053995006242198,0.599609919197548,0.6011904761904762
recommendation_response,base,2,946,134,269,0.598478835978836,0.58701793171211,0.5043187517414321,0.5041118421052632
recommendation_response,base,3,946,134,269,0.6013558201058201,0.5838852594428174,0.5654778489830037,0.5649050086355786
recommendation_response,base,4,946,134,269,0.6268518518518519,0.6159528243327126,0.4856505990526609,0.48574561403508776
recommendation_response,base,5,946,134,269,0.6328703703703704,0.6270854247334958,0.5814990247979939,0.565043695380774
recommendation_response,base,6,946,134,269,0.6256613756613756,0.6222702842293849,0.5048760100306492,0.4920518464172169
recommendation_response,base,7,946,134,269,0.6677248677248677,0.6557740324594257,0.5750905544719978,0.5665113871635611
recommendation_response,base,8,946,134,269,0.6472883597883597,0.6358133237889233,0.5866536639732516,0.5710250455087565
recommendation_response,base,9,946,134,269,0.633829365079365,0.6262473159024883,0.6085260518250208,0.5862154150197628
recommendation_response,base,10,946,134,269,0.65135582010582,0.6227320371436587,0.6542212315408191,0.6231352408901931
recommendation_response,base,11,946,134,269,0.7333664021164021,0.7248081841432226,0.6812482585678462,0.6429263565891472
recommendation_response,base,12,946,134,269,0.7965939153439153,0.782738142370734,0.6490665923655614,0.6167934286583511
recommendation_response,base,13,946,134,269,0.7994708994708994,0.7758056550191381,0.647812761214823,0.6277777777777778
recommendation_response,base,14,946,134,269,0.8177579365079365,0.8120562190267284,0.7109222624686542,0.6945620319114295
recommendation_response,base,15,946,134,269,0.8874669312169312,0.861860226264764,0.773335190860964,0.7392505178582638
recommendation_response,base,16,946,134,269,0.9026124338624338,0.8747672253258846,0.7649763165227084,0.736203721343748
recommendation_response,base,17,946,134,269,0.9016534391534392,0.8779128910590481,0.8396489272777933,0.804280180351813
recommendation_response,base,18,946,134,269,0.8951719576719577,0.886740510428812,0.8821398718305935,0.8458982877587529
recommendation_response,base,19,946,134,269,0.8711309523809524,0.8645056462750833,0.8634717191418222,0.8287758752875032
recommendation_response,base,20,946,134,269,0.8819444444444444,0.8671223927211307,0.848007801616049,0.8065407067980667
recommendation_response,base,21,946,134,269,0.8829034391534392,0.8640899330554503,0.8364446921147952,0.809265010351967
recommendation_response,base,22,946,134,269,0.9139219576719577,0.9007873510687769,0.8364446921147952,0.809265010351967
recommendation_response,base,23,946,134,269,0.8980489417989418,0.8771979535615899,0.8570632488158261,0.839627659574468
recommendation_response,base,24,946,134,269,0.9006944444444445,0.881078691423519,0.8963499582056283,0.8898026315789473
recommendation_response,base,25,946,134,269,0.8997354497354497,0.8842678904345331,0.9098634717191418,0.8997756170531039
recommendation_response,base,26,946,134,269,0.8997354497354497,0.8842678904345331,0.8995541933686264,0.8833299845958074
recommendation_response,base,27,946,134,269,0.9112764550264549,0.8968030690537084,0.8943995541933687,0.8752659574468085
recommendation_response,base,28,946,134,269,0.8908399470899471,0.875695141577832,0.8911953190303705,0.8815530019718502
recommendation_response,base,29,946,134,269,0.8874669312169312,0.861860226264764,0.8879910838673726,0.8879910838673726
recommendation_response,base,30,946,134,269,0.8874669312169312,0.861860226264764,0.8828364446921149,0.8796545768566494
recommendation_response,base,31,946,134,269,0.8723214285714285,0.848876404494382,0.8879910838673726,0.8879910838673726
recommendation_response,base,32,946,134,269,0.8723214285714285,0.848876404494382,0.8879910838673726,0.8879910838673726
recommendation_response,answer_only,0,946,134,269,0.5,0.4126637554585153,0.5,0.4199134199134199
recommendation_response,answer_only,1,946,134,269,0.6107473544973545,0.6031202913108991,0.599609919197548,0.6011904761904762
recommendation_response,answer_only,2,946,134,269,0.5850198412698413,0.5772085712951869,0.5261911395932014,0.5243453218136762
recommendation_response,answer_only,3,946,134,269,0.5763558201058201,0.5636360879913889,0.5654778489830037,0.5649050086355786
recommendation_response,answer_only,4,946,134,269,0.6071428571428572,0.6007641783503852,0.5062691557536918,0.5062358276643991
recommendation_response,answer_only,5,946,134,269,0.6340608465608466,0.6200564971751412,0.5731401504597381,0.5601010101010101
recommendation_response,answer_only,6,946,134,269,0.6311838624338624,0.6231247540338449,0.5731401504597381,0.5601010101010101
recommendation_response,answer_only,7,946,134,269,0.6395833333333334,0.6193701830443159,0.5795486207857342,0.5575935436537051
recommendation_response,answer_only,8,946,134,269,0.6150793650793651,0.6099399270200934,0.5286988018946782,0.5142242703533026
recommendation_response,answer_only,9,946,134,269,0.6828703703703703,0.6693017537853441,0.6085260518250208,0.5862154150197628
recommendation_response,answer_only,10,946,134,269,0.7595568783068782,0.7336106159635571,0.6967121760936195,0.662427035330261
recommendation_response,answer_only,11,946,134,269,0.8403439153439154,0.8163252638112973,0.7308442463081638,0.698876404494382
